Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,PNL_per_Entry
2024-01-02,CVCB3,9,0.78,3.69,6.19,-4.8,61815.0,CVCB3_Down_1.5_high_Afastado_-1_Buy_Corpo,3.98,1.0,0.78,0.78,1,False,3.28,3.98,-0.7000000000000002,-0.07777777777777779
2024-01-02,SOJA3,28,0.75,2.34,5.23,-3.55,70423.0,SOJA3_Up_1_opendia_Afastado_-1_Buy_Corpo,opendia_-0.01,1.0,0.75,0.75,1,True,15.43,15.4836,-0.0535999999999994,-0.0019142857142856928
2024-01-02,SBFG3,15,0.8,2.33,4.34,-3.91,63085.0,SBFG3_Down_0.5_open_Afastado_0_Sell_GAP,11.31,0.75,0.8,0.8,1,False,10.26,11.31,1.0500000000000007,0.07000000000000005
2024-01-02,PCAR3,42,0.79,2.27,6.78,-4.36,82429.0,PCAR3_Down_0.5_low_Afastado_0_Sell_Corpo,4.05,1.0,0.79,0.79,1,True,4.19,4.05,-0.1400000000000005,-0.0033333333333333457
2024-01-02,GMAT3,21,0.76,2.24,4.53,-2.68,67444.0,GMAT3_Up_1_opendia_Afastado_-0.5_Sell_Corpo,opendia_-0.005,1.0,0.76,0.76,1,True,6.6,6.79585,0.19585,0.009326190476190476
2024-01-02,POMO3,28,0.86,2.05,5.94,-2.81,71572.0,POMO3_Up_0.5_close_Afastado_1_Buy_Pavio,4.06,1.0,0.86,0.86,1,True,4.07,4.06,0.0100000000000006,0.0003571428571428786
2024-01-02,TGMA3,15,0.8,2.0,4.59,-1.87,61173.0,TGMA3_Up_1_close_Afastado_-1_Buy_Corpo,24.93,0.75,0.8,0.8,1,True,24.71,24.93,-0.2199999999999988,-0.014666666666666587
2024-01-02,TRIS3,29,0.79,1.98,5.32,-4.67,68270.0,TRIS3_Up_1_opendia_Afastado_0.5_Sell_Corpo,opendia_0.005,0.75,0.79,0.79,1,False,5.04,5.29635,0.2563500000000003,0.008839655172413804
2024-01-02,VITT3,23,0.74,1.95,4.55,-4.9,60114.0,VITT3_Down_0.5_high_Afastado_0.5_Buy_Pavio,9.18,1.0,0.74,0.74,1,False,8.63,9.18,-0.5499999999999989,-0.02391304347826082
2024-01-02,JSLG3,24,0.71,1.86,4.51,-3.84,62026.0,JSLG3_Up_1.5_close_Afastado_-1_Buy_Corpo,11.46,1.0,0.71,0.71,1,False,11.78,11.46,0.3199999999999985,0.013333333333333272
2024-01-03,CVCB3,9,0.78,3.69,6.19,-4.8,61815.0,CVCB3_Down_1.5_high_Afastado_-1_Buy_Corpo,3.48,1.0,0.78,0.78,1,False,3.26,3.48,-0.2200000000000002,-0.024444444444444467
2024-01-03,PETZ3,12,0.75,3.43,6.58,-4.73,64018.0,PETZ3_Down_4_opendia_Afastado_-1_Sell_Corpo,opendia_-0.01,0.75,0.75,0.75,1,True,3.49,3.4848,-0.0052000000000003,-0.0004333333333333583
2024-01-03,AGXY3,14,0.71,2.81,5.46,-2.92,62022.0,AGXY3_Down_1.5_high_Afastado_-1_Sell_Corpo,54.05,0.75,0.71,0.71,1,False,52.05,54.05,2.0,0.14285714285714285
2024-01-03,PGMN3,17,0.76,2.4,5.54,-3.42,62669.0,PGMN3_Down_2_close_Afastado_0.5_Sell_Corpo,3.31,0.75,0.76,0.76,1,True,3.29,3.31,0.02,0.0011764705882352942
2024-01-03,CASH3,22,0.73,2.31,6.29,-3.36,65501.0,CASH3_Down_2_opendia_Afastado_-0.5_Sell_Corpo,opendia_-0.005,1.0,0.73,0.73,1,True,3.23,3.2238,-0.0061999999999997,-0.0002818181818181682
2024-01-03,SBFG3,21,0.71,2.27,6.71,-3.47,62924.0,SBFG3_Down_1_open_Afastado_-0.5_Sell_Corpo,10.94,0.75,0.71,0.71,1,False,10.44,10.94,0.5,0.023809523809523808
2024-01-03,VVEO3,20,0.8,2.13,5.95,-3.51,65050.0,VVEO3_Down_1.5_opendia_Afastado_-1_Sell_Corpo,opendia_-0.01,1.0,0.8,0.8,1,True,12.47,12.9195,0.4494999999999987,0.022474999999999933
2024-01-03,MILS3,18,0.78,2.08,3.85,-3.84,62804.0,MILS3_Down_2_opendia_Afastado_0_Buy_Corpo,opendia_0.0,0.75,0.78,0.78,1,True,12.78,12.26,0.5199999999999996,0.028888888888888867
2024-01-03,POMO3,29,0.86,1.98,5.94,-4.19,71695.0,POMO3_Up_0.5_close_Afastado_1_Buy_Pavio,4.11,1.0,0.86,0.86,1,True,4.21,4.11,0.0999999999999996,0.003448275862068952
