Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL
2024-01-11,REGN,28,0.75,1.14,3.56,-2.52,64804.0,REGN_Up_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,1.0,0.75,0.75,1,True,915.97,902.92,13.050000000000068
2024-01-11,SPG,38,0.74,1.19,4.17,-2.77,64466.0,SPG_Down_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,1.0,0.74,0.74,1,True,144.38,143.78,0.5999999999999943
2024-01-11,RCL,28,0.82,1.3,4.01,-2.29,62257.0,RCL_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.82,0.82,1,True,123.42,123.55,-0.12999999999999545
2024-01-11,BLK,33,0.76,0.85,3.42,-2.0,62029.0,BLK_Up_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,0.75,0.76,0.76,1,True,792.61,796.96,-4.350000000000023
2024-01-11,FITB,30,0.77,1.37,5.96,-3.22,61849.0,FITB_Up_0.5_close_Afastado_0_Buy_Pavio,35.36,1.0,0.77,0.77,1,True,34.85,35.36,-0.509999999999998
2024-01-11,PYPL,18,0.83,1.63,5.11,-1.72,61821.0,PYPL_Down_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,1.0,0.83,0.83,1,True,61.35,60.65,0.7000000000000028
2024-01-11,USB,38,0.71,1.2,4.86,-3.61,60751.0,USB_Up_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,1.0,0.71,0.71,1,True,42.82,43.3,-0.4799999999999969
2024-01-11,URI,20,0.75,1.71,5.34,-2.07,60737.0,URI_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.75,0.75,1,True,551.7,549.68,2.0200000000000955
2024-01-11,CRWD,23,0.74,1.63,6.03,-3.38,60621.0,CRWD_Up_0.5_opendia_Afastado_0.5_Buy_Pavio,opendia_0.005,1.0,0.74,0.74,1,True,284.52,285.41999999999996,-0.8999999999999773
2024-01-11,WSM,19,0.79,1.66,6.41,-2.57,60466.0,WSM_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.79,0.79,1,True,101.17,102.81,-1.6400000000000006
2024-01-11,KEYS,39,0.74,1.01,3.31,-2.91,59891.0,KEYS_Down_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,1.0,0.74,0.74,1,True,152.09,153.99,-1.9000000000000057
2024-01-11,LEN,23,0.74,1.38,4.69,-1.78,59734.0,LEN_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,1.0,0.74,0.74,1,True,155.2,152.21,2.9899999999999807
2024-01-11,PANW,18,0.83,1.53,3.42,-2.08,59730.0,PANW_Up_0.5_opendia_Afastado_1_Buy_Pavio,opendia_0.01,0.75,0.83,0.83,1,True,161.74,161.8626,-0.12259999999997717
2024-01-11,BX,25,0.72,1.49,6.17,-2.79,59578.0,BX_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.72,0.72,1,True,119.92,120.78,-0.8599999999999994
2024-01-11,PNC,28,0.79,1.05,3.88,-3.25,59563.0,PNC_Up_0.5_close_Afastado_0_Buy_Pavio,155.18,0.75,0.79,0.79,1,False,152.54,155.18,-2.640000000000015
2024-01-11,KKR,35,0.71,1.14,3.4,-3.43,59456.0,KKR_Up_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,0.75,0.71,0.71,1,True,81.87,82.68,-0.8100000000000023
2024-01-11,SMCI,12,0.75,2.44,5.16,-4.79,59193.0,SMCI_Down_0.5_high_Afastado_-1_Sell_Movimento,35.44,0.75,0.75,0.75,1,True,34.33,35.44,1.1099999999999994
2024-01-11,TGT,23,0.83,1.09,2.52,-2.84,59114.0,TGT_Down_0.5_close_Afastado_-0.5_Buy_GAP,143.37,1.0,0.83,0.83,1,True,142.02,143.37,-1.3499999999999943
2024-01-11,DXCM,31,0.71,1.26,4.23,-3.55,59046.0,DXCM_Up_0.5_high_Afastado_-0.5_Buy_Pavio,130.09,0.75,0.71,0.71,1,True,128.93,130.09,-1.1599999999999966
2024-01-11,CBRE,22,0.77,1.2,4.85,-1.69,58880.0,CBRE_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.77,0.77,1,True,84.86,85.769,-0.909000000000006
2024-01-12,REGN,29,0.76,1.15,3.56,-2.52,66109.0,REGN_Up_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,1.0,0.76,0.76,1,True,933.2,925.0,8.200000000000045
2024-01-12,SPG,39,0.74,1.17,4.17,-2.77,64646.0,SPG_Down_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,1.0,0.74,0.74,1,True,146.62,145.5,1.1200000000000045
